metric,territory,gender,age,count
Total participants,New South Wales,Female,18-19 years,57345
Eligible participants,New South Wales,Female,18-19 years,71646
Participation rate (%),New South Wales,Female,18-19 years,80
Total participants,Victoria,Female,18-19 years,44520
Eligible participants,Victoria,Female,18-19 years,52518
Participation rate (%),Victoria,Female,18-19 years,84.8
Total participants,Queensland,Female,18-19 years,34112
Eligible participants,Queensland,Female,18-19 years,43616
Participation rate (%),Queensland,Female,18-19 years,78.2
Total participants,South Australia,Female,18-19 years,12129
Eligible participants,South Australia,Female,18-19 years,14794
Participation rate (%),South Australia,Female,18-19 years,82
Total participants,Western Australia,Female,18-19 years,17637
Eligible participants,Western Australia,Female,18-19 years,21625
Participation rate (%),Western Australia,Female,18-19 years,81.6
Total participants,Tasmania,Female,18-19 years,3910
Eligible participants,Tasmania,Female,18-19 years,4796
Participation rate (%),Tasmania,Female,18-19 years,81.5
Total participants,Northern Territory,Female,18-19 years,809
Eligible participants,Northern Territory,Female,18-19 years,1306
Participation rate (%),Northern Territory,Female,18-19 years,61.9
Total participants,Australian Capital Territory,Female,18-19 years,3734
Eligible participants,Australian Capital Territory,Female,18-19 years,4441
Participation rate (%),Australian Capital Territory,Female,18-19 years,84.1
Total participants,Australia,Female,18-19 years,174196
Eligible participants,Australia,Female,18-19 years,214742
Participation rate (%),Australia,Female,18-19 years,81.1
Total participants,New South Wales,Female,20-24 years,153549
Eligible participants,New South Wales,Female,20-24 years,201716
Participation rate (%),New South Wales,Female,20-24 years,76.1
Total participants,Victoria,Female,20-24 years,130855
Eligible participants,Victoria,Female,20-24 years,163269
Participation rate (%),Victoria,Female,20-24 years,80.1
Total participants,Queensland,Female,20-24 years,93701
Eligible participants,Queensland,Female,20-24 years,131197
Participation rate (%),Queensland,Female,20-24 years,71.4
Total participants,South Australia,Female,20-24 years,33874
Eligible participants,South Australia,Female,20-24 years,44576
Participation rate (%),South Australia,Female,20-24 years,76
Total participants,Western Australia,Female,20-24 years,47265
Eligible participants,Western Australia,Female,20-24 years,62940
Participation rate (%),Western Australia,Female,20-24 years,75.1
Total participants,Tasmania,Female,20-24 years,9846
Eligible participants,Tasmania,Female,20-24 years,13592
Participation rate (%),Tasmania,Female,20-24 years,72.4
Total participants,Northern Territory,Female,20-24 years,2901
Eligible participants,Northern Territory,Female,20-24 years,5792
Participation rate (%),Northern Territory,Female,20-24 years,50.1
Total participants,Australian Capital Territory,Female,20-24 years,10342
Eligible participants,Australian Capital Territory,Female,20-24 years,12741
Participation rate (%),Australian Capital Territory,Female,20-24 years,81.2
Total participants,Australia,Female,20-24 years,482333
Eligible participants,Australia,Female,20-24 years,635823
Participation rate (%),Australia,Female,20-24 years,75.9
Total participants,New South Wales,Female,25-29 years,153718
Eligible participants,New South Wales,Female,25-29 years,204377
Participation rate (%),New South Wales,Female,25-29 years,75.2
Total participants,Victoria,Female,25-29 years,134506
Eligible participants,Victoria,Female,25-29 years,169260
Participation rate (%),Victoria,Female,25-29 years,79.5
Total participants,Queensland,Female,25-29 years,93483
Eligible participants,Queensland,Female,25-29 years,129984
Participation rate (%),Queensland,Female,25-29 years,71.9
Total participants,South Australia,Female,25-29 years,33427
Eligible participants,South Australia,Female,25-29 years,44175
Participation rate (%),South Australia,Female,25-29 years,75.7
Total participants,Western Australia,Female,25-29 years,49206
Eligible participants,Western Australia,Female,25-29 years,65888
Participation rate (%),Western Australia,Female,25-29 years,74.7
Total participants,Tasmania,Female,25-29 years,9612
Eligible participants,Tasmania,Female,25-29 years,13260
